position,company_name,alternate_name,company_url,image_url,rating,rating_count,industry_and_location,highlights,reviews_count,salaries_count,interviews_count,jobs_count,benefits_count,photos_count
1,TCS,Tata Consultancy Services,https://www.ambitionbox.com/overview/tcs-overview,https://static.ambitionbox.com/alpha/company/photos/logos/tcs.jpg,3.3,(1.1L),IT Services & Consulting | Bangalore / Bengaluru +438 other locations,"HIGHLY RATED FOR
Job Security
CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.1L,9.7L,11.7k,3k,10.6k,93
2,Accenture,Accenture overview,https://www.ambitionbox.com/overview/accenture-overview,https://static.ambitionbox.com/alpha/company/photos/logos/accenture.jpg,3.7,(71k),IT Services & Consulting | Bangalore / Bengaluru +256 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",71k,6.5L,9.1k,35.7k,6.7k,48
3,Wipro,Wipro overview,https://www.ambitionbox.com/overview/wipro-overview,https://static.ambitionbox.com/alpha/company/photos/logos/wipro.jpg,3.6,(62.9k),IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",62.9k,4.7L,6.5k,6.6k,4.6k,102
4,Cognizant,Cognizant overview,https://www.ambitionbox.com/overview/cognizant-overview,https://static.ambitionbox.com/alpha/company/photos/logos/cognizant.jpg,3.6,(59.8k),IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",59.8k,5.9L,6.3k,633,5.5k,82
5,Capgemini,Capgemini overview,https://www.ambitionbox.com/overview/capgemini-overview,https://static.ambitionbox.com/alpha/company/photos/logos/capgemini.jpg,3.7,(51.4k),IT Services & Consulting | Bangalore / Bengaluru +183 other locations,"HIGHLY RATED FOR
Work Life Balance, Job Security
CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",51.4k,4.7L,5.4k,1.8k,3.6k,41
6,HDFC Bank,HDFC Bank overview,https://www.ambitionbox.com/overview/hdfc-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hdfc-bank.jpg,3.8,(50.4k),Banking | Mumbai +1817 other locations,"HIGHLY RATED FOR
Job Security, Skill Development / Learning
CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits",50.4k,1.5L,2.9k,238,3.2k,72
7,Infosys,Infosys overview,https://www.ambitionbox.com/overview/infosys-overview,https://static.ambitionbox.com/alpha/company/photos/logos/infosys.jpg,3.5,(47.1k),IT Services & Consulting | Bangalore / Bengaluru +246 other locations,"HIGHLY RATED FOR
Job Security
CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",47.1k,5.2L,8.3k,2.1k,4.8k,117
8,ICICI Bank,ICICI Bank overview,https://www.ambitionbox.com/overview/icici-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/icici_bank.jpg,4.0,(45.1k),Banking | Mumbai +1437 other locations,"HIGHLY RATED FOR
Job Security, Promotions / Appraisal, Skill Development / Learning",45.1k,1.5L,2.9k,17,3.7k,71
9,HCLTech,HCL Technologies,https://www.ambitionbox.com/overview/hcl-technologies-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hcl-technologies-88.jpg,3.4,(44.3k),IT Services & Consulting | Chennai +226 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",44.3k,3.7L,4.4k,178,3.8k,63
10,Tech Mahindra,Tech Mahindra overview,https://www.ambitionbox.com/overview/tech-mahindra-overview,https://static.ambitionbox.com/alpha/company/photos/logos/tech-mahindra.jpg,3.4,(42.3k),IT Services & Consulting | Hyderabad / Secunderabad +337 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",42.3k,2.8L,4.4k,352,3.4k,79
11,Genpact,Genpact overview,https://www.ambitionbox.com/overview/genpact-overview,https://static.ambitionbox.com/alpha/company/photos/logos/genpact.jpg,3.6,(40.7k),IT Services & Consulting | Hyderabad / Secunderabad +182 other locations,"HIGHLY RATED FOR
Job Security
CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.7k,2.3L,3.7k,520,3.5k,63
12,Teleperformance,Teleperformance overview,https://www.ambitionbox.com/overview/teleperformance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/teleperformance-group.jpg,3.8,(36.4k),BPO | Mumbai +254 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal",36.4k,95.7k,2.1k,1.2k,1.8k,38
13,Axis Bank,Axis Bank overview,https://www.ambitionbox.com/overview/axis-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/axis-bank.jpg,3.6,(32.2k),Banking | Mumbai +1499 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal, Work Satisfaction, Company Culture",32.2k,1L,1.8k,204,2.1k,120
14,Jio,Reliance jio,https://www.ambitionbox.com/overview/jio-overview,https://static.ambitionbox.com/alpha/company/photos/logos/reliance-jio-infocomm.jpg,4.3,(31.8k),Telecom | Mumbai +1871 other locations,"HIGHLY RATED FOR
Job Security, Work Life Balance, Skill Development / Learning",31.8k,61.5k,3.6k,3,2.5k,83
15,Concentrix Corporation,Concentrix Corporation overview,https://www.ambitionbox.com/overview/concentrix-corporation-overview,https://static.ambitionbox.com/alpha/company/photos/logos/concentrix-corporation.jpg,3.6,(31.5k),BPO | Bangalore / Bengaluru +179 other locations,"HIGHLY RATED FOR
Job Security
CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",31.5k,1.3L,1.9k,73,3.1k,66
16,Amazon,Amazon overview,https://www.ambitionbox.com/overview/amazon-overview,https://static.ambitionbox.com/alpha/company/photos/logos/amazon.jpg,3.9,(30.7k),Internet | Bangalore / Bengaluru +521 other locations,"HIGHLY RATED FOR
Company Culture, Work Life Balance, Salary & Benefits
CRITICALLY RATED FOR
Promotions / Appraisal",30.7k,1.5L,5.7k,1.4k,4.1k,88
17,iEnergizer,ienergizer,https://www.ambitionbox.com/overview/ienergizer-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ienergizer.jpg,4.6,(27.4k),BPO | Noida +51 other locations,"HIGHLY RATED FOR
Company Culture, Work Life Balance, Work Satisfaction",27.4k,24k,1k,50,430,28
18,Reliance Retail,Reliance Retail Limited,https://www.ambitionbox.com/overview/reliance-retail-overview,https://static.ambitionbox.com/alpha/company/photos/logos/reliance-retail-limited.jpg,3.9,(26.9k),Retail | Mumbai +1149 other locations,"HIGHLY RATED FOR
Job Security, Skill Development / Learning, Work Life Balance
CRITICALLY RATED FOR
Promotions / Appraisal",26.9k,74.4k,1.9k,97,1.8k,133
19,LTIMindtree,LTIMindtree overview,https://www.ambitionbox.com/overview/ltimindtree-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ltimindtree.jpg,3.6,(25.7k),IT Services & Consulting | Bangalore / Bengaluru +146 other locations,"CRITICALLY RATED FOR
Promotions / Appraisal, Salary & Benefits, Work Satisfaction",25.7k,1.9L,3.3k,384,776,34
20,IBM,IBM overview,https://www.ambitionbox.com/overview/ibm-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,3.9,(25.3k),IT Services & Consulting | Bangalore / Bengaluru +160 other locations,"HIGHLY RATED FOR
Work Life Balance, Company Culture, Job Security
CRITICALLY RATED FOR
Promotions / Appraisal",25.3k,2.1L,2.6k,1.8k,2.6k,23
